"filename", "language", "JSON", "XML", "Properties", "Java", "comment", "blank", "total"
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG9.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BR1.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BR2.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BR3.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BR4.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\CR1.cfg", "Properties", 0, 0, 318, 0, 43, 1, 362
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\CR2.cfg", "Properties", 0, 0, 318, 0, 43, 1, 362
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\correct\otherProtocolImportInBgpInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\correct\provenanceInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\correct\relatedStaticAndDirectInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\correct\vpnBindingInfo.json", "JSON", 6940, 0, 0, 0, 0, 0, 6940
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\error\otherProtocolImportInBgpInfo.json", "JSON", 25, 0, 0, 0, 0, 0, 25
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\error\provenanceInfo.json", "JSON", 8630, 0, 0, 0, 0, 0, 8630
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\error\relatedStaticAndDirectInfo.json", "JSON", 887, 0, 0, 0, 0, 0, 887
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\error\vpnBindingInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
